question,answer
"How do I contact IDC technologies?","Send us an email through our 'Contact Us' page."
"What are the types of positions available for me?","IDC Technologies offers permanent, temporary, and temporary-to-permanent employment opportunities for a wide range of skill sets and industries."
"What is the global presence of IDC Technologies?","USA, India, UAE, Australia, Ireland, Singapore, Canada, Costa Rica, UK, Mexico, Poland, Netherlands, Germany, Malaysia, New Zealand."
"How does IDC Technologies protect my personal information?","IDC Technologies cares about your privacy and ensures confidentiality. For details, review our Privacy Policy."
"What kind of career development resources does IDC Technologies offer?","You can reach out to your IDC representative for expertise and guidance on career development."
"Can I search for jobs myself or do I need to contact the local IDC Technologies office?","You can visit our Job Seeker page and fill out the form. Alternatively, contact your local IDC office."
"What do I need to do after I submit my CV?","If your skills match client needs, an IDC Technologies representative will contact you about next steps."
"Is there a cost for being placed with IDC Technologies?","No. IDC Technologies places you at no cost to you."
"What does IDC Technologies do?","We are a solution-oriented firm specializing in IT and staffing services through meaningful communication and relationships."
"What is IDC Technologies' mission statement?","To be a trusted and globally admired staffing & consulting partner, reinventing the industry dynamics."
"What is IDC Technologies' vision statement?","To build centers of excellence promoting high-quality experiences through integrity, quality, and respect."
"What industries is IDC Technologies involved in?","Banking, Financial Services and Insurance, Pharma, Consulting, Information Technology, Telecom, Oil & Gas, Software Development, and others."
"Why choose IDC Technologies?","With over 13 years of experience, our 250+ recruiters hire 200+ IT experts monthly to meet your needs."
"What awards did IDC Technologies receive?","Our awards can be found on the 'Awards' page."
"How is life at IDC Technologies?","Our people drive our work quality and impact. We encourage continuous learning and growth."
"Where do I submit my CV?","Please go to the 'Join Us' section and submit your CV under 'Submit CV'."
"Does IDC Technologies do remote assistance?","Yes, we take the lead of end-to-end network operations with 24x7 remote assistance for maintaining smooth infrastructure, systems and network operations."
"Does IDC Technologies continue to support me after I start a job?","Yes. At IDC Technologies, we are committed to helping you succeed. While your supervisor at the worksite is your resource for daily work-related questions, IDC Technologies is your partner and is available to support you if you have any questions or concerns that are HR related. If you have been hired for a permanent position through IDC Technologies, we will support you for 30 days while you transition into your job with your new employer. After that, you should speak with your direct supervisor if you have any questions or concerns."
"Who are you?","I am the IDC bot."
"What does the company do?","We are a solution-oriented firm specializing in IT and staffing services through meaningful communication and relationships."
"Who are IDC's clients?","Our clients from various fields include Etihad, RTA, Audi, J.P. Morgan, Apple, Amazon, Pfizer, and many more."
"Who are IDC's clients in the Middle East - Aviation?","Etihad is one of our key aviation clients in the Middle East."
"Who are IDC's clients in the Middle East - Government?","Our government clients in the Middle East include Hamriyah Free Zone Authority, RTA, Fujairah Environment Authority, and Abu Dhabi Fund for Development."
"Who are IDC's clients in the Middle East - Healthcare?","Our healthcare clients in the Middle East include Al Mazroui Medical Center and the Department of Health."
"Who are IDC's clients in the Middle East - Automobile?","In the automobile sector in the Middle East, our clients include Audi, Ali and Sons, and Al Nabooda Automobiles."
"Who are IDC's clients in the Middle East - Automotive, Real Estate, Travel and Hospitality?","Juma Al Majid Holding Group is a key client in automotive, real estate, and hospitality sectors."
"Who are IDC's clients in the Middle East - Education?","Our client in the education sector in the Middle East includes Hamdan Bin Mohammed Smart University."
"Who are IDC's clients in the Middle East - BFSI?","Our BFSI client in the Middle East is MPay."
"Who are IDC's clients in the Middle East - FMCG?","Our FMCG client in the Middle East is Epikfoods."
"Who are IDC's clients in the Middle East - Travel and Hospitality?","Our client in this sector is Nikki Beach Resort and Spa Dubai."
"Who are IDC's global clients in BFSI?","Our global BFSI clients include Bank of America, Morgan Stanley, Ripple, PayPal, Tieback, HSBC, Visa, J.P. Morgan, and NSE."
"Who are IDC's global clients in Automobile?","Our global automobile clients include GM, Toyota, and Ford."
"Who are IDC's global clients in Travel and Hospitality?","We work with TripAdvisor, Marriott, and InterGlobe globally in travel and hospitality."
"Who are IDC's global clients in Telecom, Media, and Entertainment?","Verizon, Comcast, ITVX, Charter Communications, AT&T, and Apple are among our global clients in the telecom and entertainment sectors."
"Who are IDC's global clients in Government?","Our global government clients include TCIL and BSNL."
"Who are IDC's global clients in Retail, Consumer Goods, and Distribution?","We serve clients like PepsiCo, 3M, Nestlé, Unilever, and Dabur in retail and consumer goods."
"Who are IDC's global clients in E-commerce?","Our e-commerce clients include Amazon, eBay, and Flipkart."
"Who are IDC's global clients in Pharma, Health, and Life Sciences?","We work with U Torrent, Johnson & Johnson, UnitedHealth Group, Cardinal Health, and Pfizer globally in the health and pharma sector."
"Who are IDC Technologies' partners?","IDC Technologies is partnered with major global technology providers including Microsoft Cloud, Kloudspot, SAP, Vicarious, SAS, IBM, Apptio, and Oracle."
"What are the key service areas in IDC Digital?","IDC Digital focuses on six core areas: Digital Disruption, Application Modernization, Platform Enablement, Smart Services, Cyber Security, and Operations Support."
"What services are offered under Digital Disruption?","Digital Transformation, Strategy and Consulting, Enterprise Modernization, Multi Speed."
"What services are offered under Application Modernization?","Omni Channel Microservices, Cloud First, Quality Engineering, Mobile First."
"What services are included in Platform Enablement?","DevSecOps, Site Reliability Engineering, Observability, Public and Private Cloud Services Automation."
"What services are offered under Smart Services?","Data Platform Transformation, Artificial Intelligence and Machine Learning, Blockchain, Business Process Automation and RPA."
"What are the Cyber Security services offered by IDC?","Vulnerability Assessment and Pen Testing, Managed Detection and Response, IAM and GRC, Consulting and Advisory."
"What are the services included under Operations Support?","Managed Support, L1/L2 Outsourcing, Operations Management, Operations Reliability."
"What supports the IDC Digital offerings?","IDC Digital offerings are empowered by IDC Staffing Services."
"Who delivers these offerings?","These services are delivered by IDC Technologies."
"What awards did IDC Technologies win in 2023?","In 2023, IDC Technologies was recognized as a Transformational Brand by Marksmen Daily and featured in 'The CEO Story' as one of the 10 Founders Making a Difference."
"What awards did IDC Technologies win in 2022?","In 2022, IDC received a Certificate of Appreciation from Wipro and was recognized by Innovative Zone as one of the Most Influential Business Leaders to Follow."
"What is IDC's most recent appraisal?","In 2024, IDC Technologies was appraised at CMMI DEV | ML3 with an expiration date of July 29, 2026."
"Was IDC ever recognized by Wipro?","Yes, IDC Technologies was recognized as Best Resourcing Partner by Wipro in 2014 and 2015."
"Was IDC included in the list of 5000 fastest-growing companies?","Yes, IDC Technologies has been featured multiple times in the Inc. 5000 list for being one of the fastest-growing companies in America, including in 2010, 2011, 2012, and 2013."
"Has IDC been recognized in California or the Silicon Valley?","Yes, IDC Technologies was listed among the 52 Fastest-growing Private Companies in Silicon Valley in Oct 2013, and was also among the Top Companies in California on the Inc. 5000 list in Sept 2011 and Sept 2013."
"Has IDC been listed in any specific industry rankings?","Yes, IDC Technologies was listed among the Top IT Services Companies on the Inc. 5000 in Sept 2011 and Sept 2013."
"Was IDC recognized among South Asian-run companies?","Yes, IDC Technologies was recognized among the Top South Asian-run Companies on the Inc. 5000 list in Sept 2011."
"Was IDC included in the San Jose metro area rankings?","Yes, IDC Technologies was included in the Top Companies in the San Jose Metro Area on the Inc. 5000 in Sept 2010 and Sept 2011."
"What are IDC Digital's main partnership domains?","IDC Digital's main partnership domains include Network Security, EDR, MDR, SIEM, Cloud & Email and Identity Security, Encryption, Backup, VAPT, and Source Code Security."
"Which providers does IDC Digital partner with for Network Security?","For Network Security, IDC Digital partners with SONICWALL, FORTINET, Sophos, LogRhythm, Microsoft, and Netwrix."
"Can you list the partners for Cloud, Email & Identity Security?","The partners for Cloud, Email & Identity Security are Sophos, Spire Solutions, Galaxkey, Redington, SailPoint, and Microsoft."
"Which providers are involved in IDC Digital's Backup solutions?","IDC Digital's Backup solutions involve partners such as Veeam, Redington, and Microsoft."
"Who are the partners for EDR, MDR, and SIEM services?","For EDR, MDR, and SIEM services, IDC Digital partners with Sophos, LogRhythm, Spire Solutions, Virsec, Resecurity, and Microsoft."
"Which companies provide Encryption solutions in partnership with IDC Digital?","The companies providing Encryption solutions in partnership with IDC Digital are Sophos, Spire Solutions, Galaxkey, Redington, and Microsoft."
"Who are the partners for VAPT (Vulnerability Assessment & Penetration Testing) and Source Code Security?","For VAPT and Source Code Security, IDC Digital partners with Virsec, Resecurity, and ImmuniWeb."
"Does Microsoft partner with IDC Digital in multiple domains?","Yes, Microsoft partners with IDC Digital in multiple domains, including Network Security, EDR, MDR, SIEM, Cloud, Email & Identity Security, Encryption, and Backup."
"What are the six pillars of IDC?","The six pillars of IDC are Digital Disruption, Application Modernization, Platform Enablement, Smart Services, Cyber Security and Operation Support."
