question,answer
"How do I contact IDC technologies?","Send us an email through our 'Contact Us' page."
"What are the types of positions available for me?","IDC Technologies offers permanent, temporary, and temporary-to-permanent employment opportunities for a wide range of skill sets and industries."
"What is the global presence of IDC Technologies?","USA, India, UAE, Australia, Ireland, Singapore, Canada, Costa Rica, UK, Mexico, Poland, Netherlands, Germany, Malaysia, New Zealand."
"How does IDC Technologies protect my personal information?","IDC Technologies cares about your privacy and ensures confidentiality. For details, review our Privacy Policy."
"What kind of career development resources does IDC Technologies offer?","You can reach out to your IDC representative for expertise and guidance on career development."
"Can I search for jobs myself or do I need to contact the local IDC Technologies office?","You can visit our Job Seeker page and fill out the form. Alternatively, contact your local IDC office."
"What do I need to do after I submit my CV?","If your skills match client needs, an IDC Technologies representative will contact you about next steps."
"Is there a cost for being placed with IDC Technologies?","No. IDC Technologies places you at no cost to you."
"What does IDC Technologies do?","We are a solution-oriented firm specializing in IT and staffing services through meaningful communication and relationships."
"What is IDC Technologies' mission statement?","To be a trusted and globally admired staffing & consulting partner, reinventing the industry dynamics."
"What is IDC Technologies' vision statement?","To build centers of excellence promoting high-quality experiences through integrity, quality, and respect."
"What industries is IDC Technologies involved in?","Banking, Financial Services and Insurance, Pharma, Consulting, Information Technology, Telecom, Oil & Gas, Software Development, and others."
"Why choose IDC Technologies?","With over 13 years of experience, our 250+ recruiters hire 200+ IT experts monthly to meet your needs."
"What awards did IDC Technologies receive?","Our awards can be found on the 'Awards' page."
"How is life at IDC Technologies?","Our people drive our work quality and impact. We encourage continuous learning and growth."
"Where do I submit my CV?","Please go to the 'Join Us' section and submit your CV under 'Submit CV'."
"Does IDC Technologies do remote assistance?","Yes, we take the lead of end-to-end network operations with 24x7 remote assistance for maintaining smooth infrastructure, systems and network operations."
"Does IDC Technologies continue to support me after I start a job?","Yes. At IDC Technologies, we are committed to helping you succeed. While your supervisor at the worksite is your resource for daily work-related questions, IDC Technologies is your partner and is available to support you if you have any questions or concerns that are HR related. If you have been hired for a permanent position through IDC Technologies, we will support you for 30 days while you transition into your job with your new employer. After that, you should speak with your direct supervisor if you have any questions or concerns."
"Who are you?","I am the IDC bot."
"What does the company do?","We are a solution-oriented firm specializing in IT and staffing services through meaningful communication and relationships."
"Who are IDC's clients?","Our clients from various fields include Etihad, RTA, Audi, J.P. Morgan, Apple, Amazon, Pfizer, and many more."
"Who are IDC's clients in the Middle East - Aviation?","Etihad is one of our key aviation clients in the Middle East."
"Who are IDC's clients in the Middle East - Government?","Our government clients in the Middle East include Hamriyah Free Zone Authority, RTA, Fujairah Environment Authority, and Abu Dhabi Fund for Development."
"Who are IDC's clients in the Middle East - Healthcare?","Our healthcare clients in the Middle East include Al Mazroui Medical Center and the Department of Health."
"Who are IDC's clients in the Middle East - Automobile?","In the automobile sector in the Middle East, our clients include Audi, Ali and Sons, and Al Nabooda Automobiles."
"Who are IDC's clients in the Middle East - Automotive, Real Estate, Travel and Hospitality?","Juma Al Majid Holding Group is a key client in automotive, real estate, and hospitality sectors."
"Who are IDC's clients in the Middle East - Education?","Our client in the education sector in the Middle East includes Hamdan Bin Mohammed Smart University."
"Who are IDC's clients in the Middle East - BFSI?","Our BFSI client in the Middle East is MPay."
"Who are IDC's clients in the Middle East - FMCG?","Our FMCG client in the Middle East is Epikfoods."
"Who are IDC's clients in the Middle East - Travel and Hospitality?","Our client in this sector is Nikki Beach Resort and Spa Dubai."
"Who are IDC's global clients in BFSI?","Our global BFSI clients include Bank of America, Morgan Stanley, Ripple, PayPal, Tieback, HSBC, Visa, J.P. Morgan, and NSE."
"Who are IDC's global clients in Automobile?","Our global automobile clients include GM, Toyota, and Ford."
"Who are IDC's global clients in Travel and Hospitality?","We work with TripAdvisor, Marriott, and InterGlobe globally in travel and hospitality."
"Who are IDC's global clients in Telecom, Media, and Entertainment?","Verizon, Comcast, ITVX, Charter Communications, AT&T, and Apple are among our global clients in the telecom and entertainment sectors."
"Who are IDC's global clients in Government?","Our global government clients include TCIL and BSNL."
"Who are IDC's global clients in Retail, Consumer Goods, and Distribution?","We serve clients like PepsiCo, 3M, Nestlé, Unilever, and Dabur in retail and consumer goods."
"Who are IDC's global clients in E-commerce?","Our e-commerce clients include Amazon, eBay, and Flipkart."
"Who are IDC's global clients in Pharma, Health, and Life Sciences?","We work with U Torrent, Johnson & Johnson, UnitedHealth Group, Cardinal Health, and Pfizer globally in the health and pharma sector."
"Who are IDC Technologies' partners?","IDC Technologies is partnered with major global technology providers including Microsoft Cloud, Kloudspot, SAP, Vicarious, SAS, IBM, Apptio, and Oracle."
